"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"725","ML02R04C011","KOULIKORO","FANA","ML02R04","KONI","ML02R04C011","CSCOM","1997",2,45,NA,"OMS Survey",NA,-7.17777999977,12.8519400004,NA
"726","ML01R01C024","KAYES","KAYES","ML01R01","KONIAKARY","ML01R01C024","CSCOM","2000",1,65,"OUI","OMS Survey",NA,-10.913332905,14.577777849,NA
"727","ML03R06C015","SIKASSO","KOUTIALA","ML03R06","KONINA - KOUTIALA","ML03R06C015","CSCOM","1997",9,90,"OUI","OMS Survey",NA,-6.177741276,12.475275722,NA
"728","ML05R04C008","MOPTI","DJENNE","ML05R04","KONIO","ML05R04C008","CSCOM","1994",9,45,"NON","OMS Survey",NA,-4.466666649,13.670833598,NA
"729","ML06R05C013","TOMBOUCTOU","NIAFUNKE","ML06R05","KONKOBOUGOU","ML06R05C013","CSCOM","2003",17,60,"NON","OMS Survey",NA,-3.77220600011,15.5121289997,NA
"730","ML02R04C012","KOULIKORO","FANA","ML02R04","KONKON","ML02R04C012","CSCOM","2010",NA,NA,NA,"OMS Survey",NA,-6.37639000001,12.18056,NA
"731","ML05R01C008","MOPTI","MOPTI","ML05R01","KONNA","ML05R01C008","CSCOM","1995",10,65,"OUI","OMS Survey",NA,-3.892162773,14.943595224,NA
"732","ML04R02C009","SEGOU","BAROUELI","ML04R02","KONOBOUGOU","ML04R02C009","CSCOM","2000",28,20,"OUI","OMS Survey",NA,-6.757319901,12.916157347,NA
"733","ML04R01C012","SEGOU","SEGOU","ML04R01","KONODI0INI","ML04R01C012","CSCOM","1996",16,20,"OUI","OMS Survey",NA,-6.423467401,13.321846472,NA
"734","ML04R07C013","SEGOU","SAN","ML04R07","KONOSSO","ML04R07C013","CSCOM","2007",4,175,NA,"OMS Survey",NA,-5.20778000033,12.9449999999,NA
"735","ML03R06C016","SIKASSO","KOUTIALA","ML03R06","KONSEGUELA","ML03R06C016","CSCOM","1999",14,52,"NON","OMS Survey",NA,-5.8801574,12.398648847,NA
"736","ML05R01C009","MOPTI","MOPTI","ML05R01","KONTZA PEULH","ML05R01C009","CSCOM","1997",6,90,"NON","OMS Survey",NA,-3.82668999979,14.9578700003,NA
"737","ML05R06C012","MOPTI","KORO","ML05R06","KOPORO PEN","ML05R06C012","CSCOM","1999",19,35,"OUI","OMS Survey",NA,-3.301203773,14.222937598,NA
"738","ML05R06C013","MOPTI","KORO","ML05R06","KOPORONA","ML05R06C013","CSCOM","1996",16,32,"OUI","OMS Survey",NA,-3.358192273,14.127848348,NA
"739","ML05R07C010","MOPTI","TENENKOU","ML05R07","KORA","ML05R07C010","CSCOM","2008",22,15,"NON","OMS Survey",NA,-4.882271399,14.532904349,NA
"740","ML01R06C013","KAYES","NIORO","ML01R06","KORERA KORE","ML01R06C013","CSCOM","1998",9,85,"NON","OMS Survey",NA,-8.84730000004,15.0181600004,NA
"741","ML05R01C010","MOPTI","MOPTI","ML05R01","KORIENTZE","ML05R01C010","CSCOM","1998",11,150,"NON","OMS Survey",NA,-3.787105898,15.392098099,NA
"742","ML05R02C015","MOPTI","BANDIAGARA","ML05R02","KORI-MAOUNDE","ML05R02C015","CSCOM","2003",5,27,"NON","OMS Survey",NA,-3.80829000006,14.5667599997,NA
"743","ML05R08C006","MOPTI","YOUWAROU","ML05R08","KORMOU-PEULH","ML05R08C006","CSCOM","2011",13,75,"OUI","OMS Survey",NA,-4.219667524,15.672023725,NA
"744","ML06R04C009","TOMBOUCTOU","GOURMA-RHAROUS","ML06R04","KORO BELLAH","ML06R04C009","CSCOM","2003",15,285,"OUI","OMS Survey",NA,-2.66619000038,15.6502699999,NA
"745","ML05R06C014","MOPTI","KORO","ML05R06","KORO CENTRAL","ML05R06C014","CSCOM","1997",24,500,"NON","OMS Survey",NA,-3.077304398,14.059170598,NA
"746","ML05R06C000","MOPTI","KORO","ML05R06","KORO CSREF","ML05R06C000","CSREF","2011",0,175,NA,"OMS Survey",NA,-3.077304398,14.059170598,NA
"747","ML03R01C028","SIKASSO","SIKASSO","ML03R01","KORO-BARRAGE","ML03R01C028","CSCOM","1995",6,1,"OUI","OMS Survey",NA,-5.703040525,12.008841721,NA
"748","ML02R08C014","KOULIKORO","NARA","ML02R08","KORONGA","ML02R08C014","CSCOM","2010",20,45,"OUI","OMS Survey",NA,-7.610565402,15.331305849,NA
"749","ML04R07C014","SEGOU","SAN","ML04R07","KORO-SAN","ML04R07C014","CSCOM","1999",6,65,"OUI","OMS Survey",NA,-4.76971999976,13.3535599999,NA
"750","ML01R05C027","KAYES","KITA","ML01R05","KOTOUBA","ML01R05C027","CSCOM","2005",5,145,"NON","OMS Survey",NA,-8.724999153,13.473136983,NA
